Date,Price,Open,High,Low,Vol.,Change %
09/20/2021,"43,810.80","47,233.10","47,321.30","43,281.60",0.11K,-7.25%
09/19/2021,"47,233.10","48,293.70","48,352.20","46,800.00",0.06K,-2.20%
09/18/2021,"48,293.70","47,274.40","48,775.00","47,064.50",0.06K,2.16%
09/17/2021,"47,274.40","47,753.80","48,139.20","46,793.80",0.07K,-1.00%
09/16/2021,"47,753.80","48,124.60","48,467.10","47,029.30",0.07K,-0.77%
09/15/2021,"48,124.60","47,077.90","48,411.80","46,729.50",0.06K,2.22%
09/14/2021,"47,077.90","44,932.60","47,210.40","44,678.60",0.07K,4.77%
09/13/2021,"44,932.60","46,040.90","46,829.80","43,413.10",0.14K,-2.43%
09-12-2021,"46,053.60","45,153.20","46,400.00","44,742.00",0.05K,1.99%
09-11-2021,"45,153.20","44,850.70","45,962.00","44,736.70",0.04K,0.67%
09-10-2021,"44,850.70","46,359.80","47,035.40","44,201.00",0.08K,-3.26%
09-09-2021,"46,359.80","46,059.30","47,397.20","45,526.90",0.07K,0.65%
09-08-2021,"46,059.30","46,846.50","47,316.60","44,459.50",0.14K,-1.67%
09-07-2021,"46,839.30","52,656.20","52,881.60","43,002.90",0.34K,-11.05%
09-06-2021,"52,656.20","51,764.70","52,741.50","50,990.80",0.08K,1.72%
09-05-2021,"51,764.70","49,909.60","51,879.90","49,485.00",0.06K,3.72%
09-04-2021,"49,909.60","49,997.00","50,520.70","49,401.80",0.06K,-0.17%
09-03-2021,"49,997.00","49,253.30","50,985.00","48,338.90",0.12K,1.51%
09-02-2021,"49,253.30","48,835.50","50,366.80","48,597.10",0.10K,0.86%
09-01-2021,"48,835.50","47,124.10","49,126.30","46,533.40",0.11K,3.63%
08/31/2021,"47,124.10","46,966.90","48,180.80","46,709.20",0.10K,0.33%
08/30/2021,"46,966.90","48,771.60","48,883.50","46,875.00",0.08K,-3.70%
08/29/2021,"48,771.60","48,882.00","49,589.50","47,802.60",0.07K,-0.23%
08/28/2021,"48,882.00","49,039.50","49,263.20","48,375.00",0.04K,-0.32%
08/27/2021,"49,039.50","46,857.40","49,116.40","46,375.20",0.06K,4.66%
08/26/2021,"46,857.40","48,979.10","49,330.00","46,297.20",0.07K,-4.33%
08/25/2021,"48,979.10","47,688.20","49,221.10","47,149.60",0.07K,2.71%
08/24/2021,"47,688.20","49,518.10","49,838.00","47,630.00",0.09K,-3.73%
08/23/2021,"49,534.50","49,280.80","50,460.40","49,055.40",0.08K,0.51%
08/22/2021,"49,280.80","48,830.60","49,466.10","48,056.60",0.05K,0.92%
08/21/2021,"48,830.60","49,307.90","49,745.00","48,267.80",0.09K,-0.97%
08/20/2021,"49,307.90","46,742.30","49,345.00","46,655.30",0.12K,5.49%
08/19/2021,"46,742.30","44,706.20","46,986.10","43,953.10",0.08K,4.55%
08/18/2021,"44,706.20","44,684.00","45,983.20","44,235.80",0.09K,0.05%
08/17/2021,"44,684.00","45,919.20","47,119.40","44,430.20",0.18K,-2.69%
08/16/2021,"45,917.30","46,972.50","48,000.00","45,675.00",0.10K,-2.25%
08/15/2021,"46,972.50","47,064.00","47,325.80","45,505.10",0.08K,-0.19%
08/14/2021,"47,064.00","47,821.60","48,058.90","46,038.80",0.09K,-1.54%
08/13/2021,"47,799.00","44,400.40","47,859.70","44,250.00",0.10K,7.65%
08-12-2021,"44,400.40","45,544.40","46,209.30","43,801.60",0.12K,-2.53%
08-11-2021,"45,555.00","45,581.60","46,722.00","45,360.70",0.09K,-0.06%
08-10-2021,"45,581.60","46,286.60","46,674.70","44,632.10",0.13K,-1.52%
08-09-2021,"46,286.60","43,820.40","46,439.40","42,829.30",0.12K,5.63%
08-08-2021,"43,820.40","44,574.30","45,279.40","43,278.80",0.10K,-1.69%
08-07-2021,"44,574.30","42,800.60","44,685.40","42,465.80",0.10K,4.14%
08-06-2021,"42,800.60","40,853.10","43,320.60","39,890.20",0.12K,4.77%
08-05-2021,"40,853.10","39,743.20","41,349.60","37,350.00",0.10K,2.79%
08-04-2021,"39,745.00","38,189.20","39,957.00","37,525.00",0.06K,4.07%
08-03-2021,"38,189.20","39,143.80","39,753.30","37,675.00",0.07K,-2.44%
08-02-2021,"39,143.80","39,857.00","40,431.00","38,702.10",0.09K,-1.79%
08-01-2021,"39,857.00","41,380.10","42,550.00","39,451.00",0.08K,-3.68%
07/31/2021,"41,380.10","42,191.80","42,386.20","41,052.10",0.08K,-1.92%
07/30/2021,"42,191.80","40,012.00","42,287.30","38,325.90",0.13K,5.45%
07/29/2021,"40,012.00","40,019.90","40,600.00","39,287.70",0.10K,-0.02%
07/28/2021,"40,019.90","39,489.80","40,830.70","38,800.00",0.18K,1.34%
07/27/2021,"39,489.80","37,264.20","39,489.80","36,402.00",0.15K,5.97%
07/26/2021,"37,264.20","35,374.20","40,559.50","35,209.80",0.28K,5.34%
07/25/2021,"35,374.20","34,718.30","35,375.20","33,871.70",0.06K,4.65%
07/24/2021,"33,802.00","33,589.10","33,999.80","33,400.30",0.06K,0.83%
07/23/2021,"33,523.30","32,292.80","33,582.60","31,999.60",0.07K,3.81%
07/22/2021,"32,292.80","32,131.00","32,575.10","31,725.00",0.06K,0.54%
07/21/2021,"32,119.50","29,789.70","32,749.40","29,469.60",0.11K,7.82%
07/20/2021,"29,789.70","30,825.20","31,036.20","29,238.50",0.06K,-3.36%
07/19/2021,"30,825.20","31,760.80","31,873.10","30,407.30",0.06K,-2.95%
07/18/2021,"31,760.80","31,523.00","32,381.80","31,133.40",0.04K,0.75%
07/17/2021,"31,523.00","31,402.80","31,921.70","31,194.00",0.03K,0.38%
07/16/2021,"31,402.80","31,835.30","32,198.00","31,008.10",0.05K,-1.36%
07/15/2021,"31,835.30","32,827.60","33,155.20","31,152.40",0.06K,-3.02%
07/14/2021,"32,827.60","32,739.40","33,089.00","31,600.00",0.05K,0.27%
07/13/2021,"32,739.40","33,105.50","33,320.80","32,224.40",0.04K,-1.24%
07-12-2021,"33,150.00","34,222.40","34,638.50","32,671.70",0.06K,-3.13%
07-11-2021,"34,222.40","33,521.70","34,569.30","33,325.00",0.03K,2.09%
